gene	contig	start	end	strand	overlaps
flip	NZ_CP035928.1	1261117	1261851	-	
flha	NZ_CP035928.1	2036329	2038440	-	
flgl	NZ_CP035928.1	2038453	2039592	-	
flhb	NZ_CP035928.1	2042891	2043940	-	
flgc	NZ_CP035928.1	2047319	2047780	-	
flie	NZ_CP035928.1	2047793	2048098	-	
flig	NZ_CP035928.1	2062130	2063137	-	
flif	NZ_CP035928.1	2063146	2064864	-	
flgb	NZ_CP035928.1	2064883	2065284	-	
flgg	NZ_CP035928.1	2067572	2068360	+	
flis	NZ_CP035928.1	2317071	2317427	-	
flid	NZ_CP035928.1	2317533	2318867	-	
flgk	NZ_CP035928.1	2318878	2320731	-	
flim	NZ_CP035928.1	2325814	2326908	+	
