gene	contig	start	end	strand	overlaps
flge	NZ_CP041165.1	32817	34934	+	
fliq	NZ_CP041165.1	99043	99309	-	
flid	NZ_CP041165.1	121268	122647	+	
flis	NZ_CP041165.1	122698	123069	+	
flie	NZ_CP041165.1	268842	269147	-	
flgc	NZ_CP041165.1	269163	269657	-	
flgb	NZ_CP041165.1	269672	270103	-	
flir	NZ_CP041165.1	334002	334766	+	
flif	NZ_CP041165.1	462818	464527	+	
flig	NZ_CP041165.1	464534	465562	+	
flih	NZ_CP041165.1	465568	466341	+	
flgk	NZ_CP041165.1	586366	588246	+	
flha	NZ_CP041165.1	786564	788741	-	
flip	NZ_CP041165.1	1019590	1020327	+	
flgg	NZ_CP041165.1	1090977	1091765	+	
flga	NZ_CP041165.1	1190854	1191729	+	
flin	NZ_CP041165.1	1270061	1270372	+	
flil	NZ_CP041165.1	1488865	1489407	+	
flgh	NZ_CP041165.1	1515565	1516287	-	
fliy	NZ_CP041165.1	1531402	1532286	-	
flim	NZ_CP041165.1	1532287	1533405	-	
flhb	NZ_CP041165.1	1551101	1552153	-	
