gene	contig	start	end	strand	overlaps
flik	NC_014166.1	1933304	1935388	+	
flip	NC_014166.1	1940651	1941379	+	
flha	NC_014166.1	2467263	2469374	-	
flgl	NC_014166.1	2469390	2470508	-	
flhb	NC_014166.1	2473812	2474864	-	
flgc	NC_014166.1	2478087	2478548	-	
flie	NC_014166.1	2478564	2478866	-	
flig	NC_014166.1	2493004	2494008	-	
flif	NC_014166.1	2494009	2495751	-	
flgb	NC_014166.1	2495768	2496175	-	
flgg	NC_014166.1	2498597	2499388	+	
flis	NC_014166.1	2892872	2893228	-	
flid	NC_014166.1	2893280	2894881	-	
flim	NC_014166.1	2902500	2903594	+	
