gene	contig	start	end	strand	overlaps
fliq	NZ_WUED01000007.1	3776	4045	-	
flis	NZ_WUED01000013.1	5249	5632	-	
flid	NZ_WUED01000013.1	5644	7587	-	
flil	NZ_WUED01000012.1	9740	10276	-	
flgl	NZ_WUED01000005.1	24114	26363	+	
flgb	NZ_WUED01000013.1	27719	28150	+	
flgc	NZ_WUED01000013.1	28160	28654	+	
flie	NZ_WUED01000013.1	28660	28956	+	
flge	NZ_WUED01000011.1	37735	40260	+	
flif	NZ_WUED01000003.1	48873	50555	+	
flig	NZ_WUED01000003.1	50555	51583	+	
flih	NZ_WUED01000003.1	51591	52421	+	
flhb	NZ_WUED01000003.1	66048	67139	+	
motb	NZ_WUED01000003.1	67143	67886	-	
flgk	NZ_WUED01000009.1	67695	69521	-	
mota	NZ_WUED01000003.1	67889	68665	-	
flip	NZ_WUED01000005.1	75261	75995	+	
flin	NZ_WUED01000003.1	81826	82134	+	
flgp	NZ_WUED01000006.1	102037	102552	+	flgq
flgq	NZ_WUED01000006.1	102528	102977	+	flgp
flgh	NZ_WUED01000004.1	105635	106333	-	
flir	NZ_WUED01000002.1	112837	113604	+	
flgg	NZ_WUED01000004.1	116958	117749	+	
flga	NZ_WUED01000005.1	118105	118767	+	
flim	NZ_WUED01000001.1	127623	128702	+	fliy
fliy	NZ_WUED01000001.1	128699	129541	+	flim
