chea	Q.yeast+I+R6
chev	Q.yeast+I+R5
flag	Q.yeast+G4
flga	Q.yeast+F+G4
flgb	Q.yeast+R5
flgc	Q.yeast+R5
flgd	LG+F+I+G4
flgg	LG+F+I+R4
flgh	Q.yeast+I+R5
flgi	LG+F+I+R4
flgj	Q.yeast+R4
flgk	LG+F+I+R6
flgl	Q.yeast+F+I+R6
flgr	Q.yeast+R7
flgs	Q.yeast+I+R5
flha	Q.yeast+I+R5
flhb	Q.yeast+R6
flhf	Q.yeast+I+G4
flia	Q.yeast+R6
flid	Q.pfam+F+I+R5
flie	Q.yeast+R5
flif	Q.yeast+F+R6
flig	Q.insect+F+R5
flih	Q.insect+F+I+G4
flii	Q.yeast+I+R6
flil	Q.yeast+I+G4
flim	Q.insect+F+R5
flin	Q.insect+G4
flip	Q.yeast+I+R7
fliq	Q.yeast+I+G4
flir	mtZOA+R5
flis	Q.yeast+G4
fliy	Q.yeast+I+G4
pflb	Q.yeast+F+R6
