gene	contig	start	end	strand	overlaps
fliq	NC_014762.1	47719	47988	+	
flge	NC_014762.1	57992	60268	+	
flid	NC_014762.1	152062	153774	+	
flir	NC_014762.1	227151	227915	+	
flhb	NC_014762.1	429616	430683	+	
flim	NC_014762.1	462235	463329	+	fliy
fliy	NC_014762.1	463322	464188	+	flim
mota	NC_014762.1	588182	588952	+	
motb	NC_014762.1	588967	589815	+	
flgk	NC_014762.1	689374	691221	+	
flis	NC_014762.1	728987	729367	-	
flgg	NC_014762.1	992070	992858	+	
flip	NC_014762.1	1108259	1108966	+	
flga	NC_014762.1	1246750	1247613	-	
flig	NC_014762.1	1357654	1358679	-	
flin	NC_014762.1	1414706	1415050	+	
flil	NC_014762.1	1605641	1606210	+	
flgh	NC_014762.1	1749813	1750529	-	
flha	NC_014762.1	1771424	1773619	+	
flih	NC_014762.1	1922506	1923282	-	
flig	NC_014762.1	1923288	1924313	-	
flif	NC_014762.1	1924323	1926041	-	
flgb	NC_014762.1	2271138	2271566	+	
flgc	NC_014762.1	2271577	2272071	+	
flie	NC_014762.1	2272088	2272390	+	
