gene	contig	start	end	strand	overlaps
flgb	NZ_CP020867.1	97837	98271	+	
flgc	NZ_CP020867.1	98281	98811	+	
flie	NZ_CP020867.1	98817	99122	+	
fliq	NZ_CP020867.1	228035	228304	+	
flhb	NZ_CP020867.1	317727	318824	+	motb
motb	NZ_CP020867.1	318821	319555	-	flhb
mota	NZ_CP020867.1	319565	320338	-	
flgk	NZ_CP020867.1	338091	339917	-	
flgn	NZ_CP020867.1	339927	340364	-	
flge	NZ_CP020867.1	376612	379152	+	
flil	NZ_CP020867.1	548992	549531	+	
flgh	NZ_CP020867.1	785197	785895	+	
flip	NZ_CP020867.1	810042	810761	-	
flga	NZ_CP020867.1	897230	897892	+	
flgg	NZ_CP020867.1	952420	953211	+	
flgl	NZ_CP020867.1	965949	968237	+	
flha	NZ_CP020867.1	982550	984718	-	
flgp	NZ_CP020867.1	1274162	1274686	-	
flir	NZ_CP020867.1	1533814	1534581	+	
flin	NZ_CP020867.1	1631804	1632112	-	
fliy	NZ_CP020867.1	1653156	1653992	-	flim
flim	NZ_CP020867.1	1653989	1655065	-	fliy
flid	NZ_CP020867.1	1734467	1736425	+	
flis	NZ_CP020867.1	1736436	1736819	+	
flih	NZ_CP020867.1	1803367	1804188	-	
flig	NZ_CP020867.1	1804196	1805224	-	
flif	NZ_CP020867.1	1805225	1806910	-	
