gene	contig	start	end	strand	overlaps
flga	NZ_AINS01000012.1	372	1034	+	
flip	NZ_AINS01000016.1	1460	2203	-	
flha	NZ_AINS01000030.1	3771	5948	-	
flgp	NZ_AINS01000075.1	5007	5528	-	
flis	NZ_AINS01000033.1	6014	6397	-	
flid	NZ_AINS01000033.1	6409	8343	-	
flgk	NZ_AINS01000036.1	8201	10027	+	
flim	NZ_AINS01000100.1	8259	9335	+	fliy
fliy	NZ_AINS01000100.1	9332	10168	+	flim
flgl	NZ_AINS01000030.1	9934	12186	-	
flil	NZ_AINS01000001.1	11465	12001	-	
flif	NZ_AINS01000039.1	19556	21238	+	
flig	NZ_AINS01000039.1	21238	22266	+	
flih	NZ_AINS01000039.1	22274	23104	+	
flgb	NZ_AINS01000033.1	28495	28926	+	
flgc	NZ_AINS01000033.1	28936	29430	+	
flir	NZ_AINS01000006.1	29353	30120	-	
flie	NZ_AINS01000033.1	29437	29736	+	
flge	NZ_AINS01000009.1	36924	39464	+	
flhb	NZ_AINS01000039.1	37306	38394	+	
motb	NZ_AINS01000039.1	38409	39140	-	
mota	NZ_AINS01000039.1	39143	39919	-	
flin	NZ_AINS01000039.1	54821	55129	+	
flgh	NZ_AINS01000003.1	59060	59758	-	
flgg	NZ_AINS01000003.1	70264	71055	+	
fliq	NZ_AINS01000009.1	79523	79792	-	
