gene	contig	start	end	strand	overlaps
flga	NZ_QXJF01000004.1	4803	5762	-	
flir	NZ_QXJF01000015.1	11776	12552	-	
flil	NZ_QXJF01000006.1	14437	15027	-	
flif	NZ_QXJF01000010.1	36602	38311	+	
motb	NZ_QXJF01000005.1	37000	37752	-	
mota	NZ_QXJF01000005.1	37762	38532	-	
flip	NZ_QXJF01000015.1	37772	38596	-	
flig	NZ_QXJF01000010.1	38342	39373	+	flih
flih	NZ_QXJF01000010.1	39360	40202	+	flig
flim	NZ_QXJF01000002.1	43882	44943	+	
fliy	NZ_QXJF01000002.1	44997	45776	+	
flie	NZ_QXJF01000004.1	46289	46594	-	
flgc	NZ_QXJF01000004.1	46625	47116	-	
flgb	NZ_QXJF01000004.1	47135	47569	-	
flin	NZ_QXJF01000011.1	52295	52645	+	
flis	NZ_QXJF01000008.1	60437	60820	-	
flid	NZ_QXJF01000008.1	60838	62886	-	
flha	NZ_QXJF01000005.1	66876	69080	-	
flhb	NZ_QXJF01000002.1	81958	83079	+	
flgd	NZ_QXJF01000011.1	83957	84778	-	
flge	NZ_QXJF01000001.1	95780	97936	-	
flgl	NZ_QXJF01000001.1	104901	107468	-	
flgk	NZ_QXJF01000008.1	106497	108317	+	
flgg	NZ_QXJF01000002.1	109105	109893	+	
fliq	NZ_QXJF01000005.1	110640	110906	-	
flgh	NZ_QXJF01000007.1	116474	117187	+	
