gene	contig	start	end	strand	overlaps
flhb	NZ_FOXB01000038.1	3869	4924	-	
flil	NZ_FOXB01000055.1	5703	6242	-	
flgk	NZ_FOXB01000007.1	7216	9051	-	
flih	NZ_FOXB01000018.1	7835	8638	-	
flig	NZ_FOXB01000018.1	8640	9674	-	flif
flif	NZ_FOXB01000018.1	9671	11380	-	flig
flge	NZ_FOXB01000003.1	9953	12238	-	
flgg	NZ_FOXB01000029.1	10107	10895	-	
flip	NZ_FOXB01000035.1	10422	11153	+	
flis	NZ_FOXB01000007.1	12719	13099	+	
flim	NZ_FOXB01000004.1	16003	17085	+	fliy
fliy	NZ_FOXB01000004.1	17078	17923	+	flim
flin	NZ_FOXB01000006.1	21251	21574	-	
flid	NZ_FOXB01000002.1	32496	33857	-	
flgh	NZ_FOXB01000020.1	34454	35167	-	
flga	NZ_FOXB01000017.1	36488	37252	+	
flir	NZ_FOXB01000014.1	39745	40512	-	
flgb	NZ_FOXB01000013.1	41052	41474	+	
flgc	NZ_FOXB01000013.1	41487	41981	+	
flie	NZ_FOXB01000013.1	41999	42304	+	
fliq	NZ_FOXB01000002.1	61455	61721	+	
flha	NZ_FOXB01000006.1	76778	78934	-	
