gene	contig	start	end	strand	overlaps
flge	NZ_CP053825.1	66165	68588	+	
fliq	NZ_CP053825.1	106145	106411	+	
flin	NZ_CP053825.1	127943	128239	+	
flim	NZ_CP053825.1	191373	192464	+	fliy
fliy	NZ_CP053825.1	192454	193293	+	flim
flil	NZ_CP053825.1	225278	225823	-	
flgk	NZ_CP053825.1	365866	367695	-	
flgh	NZ_CP053825.1	670951	671652	-	
flga	NZ_CP053825.1	788179	788841	+	
flis	NZ_CP053825.1	806151	806522	-	
flid	NZ_CP053825.1	806540	808828	-	
flgl	NZ_CP053825.1	875811	878033	-	
flha	NZ_CP053825.1	942952	945114	-	
flip	NZ_CP053825.1	981124	981858	+	
flgg	NZ_CP053825.1	1011308	1012102	-	
flgb	NZ_CP053825.1	1057611	1058042	+	
flgc	NZ_CP053825.1	1058053	1058547	+	
flie	NZ_CP053825.1	1058550	1058846	+	
flir	NZ_CP053825.1	1089124	1089894	-	
flhb	NZ_CP053825.1	1348767	1349843	-	
motb	NZ_CP053825.1	1356166	1356903	-	
mota	NZ_CP053825.1	1356913	1357686	-	
flih	NZ_CP053825.1	1377183	1377995	-	
flig	NZ_CP053825.1	1378000	1379028	-	
flif	NZ_CP053825.1	1379028	1380713	-	
