gene	contig	start	end	strand	overlaps
fliq	NZ_CP043617.1	136206	136472	-	
flid	NZ_CP043617.1	191561	192931	-	
flis	NZ_CP043617.1	193143	193514	+	
flir	NZ_CP043617.1	295744	296508	+	
flie	NZ_CP043617.1	336292	336603	-	
flgc	NZ_CP043617.1	336614	337108	-	
flgb	NZ_CP043617.1	337128	337559	-	
flgk	NZ_CP043617.1	447215	449101	+	
flif	NZ_CP043617.1	527934	529652	+	
flig	NZ_CP043617.1	529656	530681	+	
flih	NZ_CP043617.1	530685	531491	+	
flip	NZ_CP043617.1	1094623	1095357	+	
flgg	NZ_CP043617.1	1137106	1137894	+	
flga	NZ_CP043617.1	1214221	1215087	+	
flin	NZ_CP043617.1	1251150	1251497	+	
flhb	NZ_CP043617.1	1452958	1454016	-	
flil	NZ_CP043617.1	1514337	1514882	+	
flgh	NZ_CP043617.1	1606289	1607011	-	
flha	NZ_CP043617.1	1613785	1615968	+	
fliy	NZ_CP043617.1	1653792	1654655	-	
flim	NZ_CP043617.1	1654657	1655742	-	
flge	NZ_CP043617.1	2334038	2336206	-	
