gene	contig	start	end	strand	overlaps
flge	NZ_NXMA01000012.1	1382	3931	-	
flgk	NZ_NXMA01000020.1	1855	3681	-	
flie	NZ_NXMA01000010.1	12989	13288	-	
flgc	NZ_NXMA01000010.1	13295	13789	-	
flgb	NZ_NXMA01000010.1	13799	14230	-	
fliq	NZ_NXMA01000013.1	14229	14498	+	
flid	NZ_NXMA01000010.1	32296	34233	+	
flgl	NZ_NXMA01000005.1	32538	34784	+	
flil	NZ_NXMA01000007.1	34234	34770	-	
flis	NZ_NXMA01000010.1	34245	34628	+	
flha	NZ_NXMA01000005.1	38737	40914	+	
flgh	NZ_NXMA01000006.1	41539	42237	-	
flgg	NZ_NXMA01000006.1	52520	53311	+	
flir	NZ_NXMA01000010.1	55076	55843	+	
flif	NZ_NXMA01000004.1	57004	58689	+	
flig	NZ_NXMA01000004.1	58690	59718	+	
flih	NZ_NXMA01000004.1	59726	60556	+	
flhb	NZ_NXMA01000004.1	71662	72750	+	
motb	NZ_NXMA01000004.1	72763	73494	-	
mota	NZ_NXMA01000004.1	73497	74273	-	
flip	NZ_NXMA01000005.1	82652	83398	-	
flin	NZ_NXMA01000004.1	84563	84874	+	
flgp	NZ_NXMA01000001.1	124255	124773	+	
flga	NZ_NXMA01000001.1	158219	158881	-	
flim	NZ_NXMA01000002.1	161026	162102	+	
fliy	NZ_NXMA01000002.1	162115	162948	+	
