gene	contig	start	end	strand	overlaps
flin	NZ_ATUV01000002.1	34727	35719	-	
flim	NZ_ATUV01000002.1	35729	36718	-	
flgb	NZ_ATUV01000001.1	133343	133744	+	
flgc	NZ_ATUV01000001.1	133757	134170	+	
flie	NZ_ATUV01000001.1	134204	134500	+	
flif	NZ_ATUV01000001.1	134545	136200	+	
flig	NZ_ATUV01000001.1	136204	137238	+	
flga	NZ_ATUV01000001.1	218635	219516	-	flgg
flgg	NZ_ATUV01000001.1	219479	220267	-	flga
flgl	NZ_ATUV01000001.1	288611	291307	-	
flgk	NZ_ATUV01000001.1	291316	293058	-	
flgn	NZ_ATUV01000001.1	293060	293530	-	flgm
flgm	NZ_ATUV01000001.1	293523	293822	-	flgn
flge	NZ_ATUV01000001.1	308451	310613	-	
flis	NZ_ATUV01000001.1	608656	609045	-	
flid	NZ_ATUV01000001.1	609459	610832	-	
flhb	NZ_ATUV01000001.1	610889	611944	-	
fliq	NZ_ATUV01000001.1	612737	613006	-	
flip	NZ_ATUV01000001.1	613010	613756	-	flio
flio	NZ_ATUV01000001.1	613743	614060	-	flip
flha	NZ_ATUV01000001.1	982695	984704	+	
