gene	contig	start	end	strand	overlaps
flim	NZ_CP035926.1	190060	191175	-	
flid	NZ_CP035926.1	198411	199763	+	
flis	NZ_CP035926.1	199839	200195	+	
flgg	NZ_CP035926.1	322587	323375	-	
flgb	NZ_CP035926.1	325473	325868	+	
flif	NZ_CP035926.1	325881	327599	+	
flig	NZ_CP035926.1	327609	328619	+	
flie	NZ_CP035926.1	342465	342785	+	
flgc	NZ_CP035926.1	342807	343277	+	
flhb	NZ_CP035926.1	345917	346963	+	
flha	NZ_CP035926.1	351431	353542	+	
flip	NZ_CP035926.1	613385	614113	-	
flik	NZ_CP035926.1	1028463	1029422	+	
mota	NZ_CP035926.1	1567040	1567792	+	
motb	NZ_CP035926.1	1567805	1568545	+	
