gene	contig	start	end	strand	overlaps
flgg	NZ_MUXF01000007.1	22132	22920	-	
flgb	NZ_MUXF01000007.1	25124	25522	+	
flif	NZ_MUXF01000007.1	25540	27264	+	
flig	NZ_MUXF01000007.1	27277	28290	+	
flie	NZ_MUXF01000007.1	41336	41656	+	
flgc	NZ_MUXF01000007.1	41671	42135	+	
flik	NZ_MUXF01000007.1	42148	44082	+	
flhb	NZ_MUXF01000007.1	44841	45890	+	
flgl	NZ_MUXF01000007.1	49195	50325	+	
flha	NZ_MUXF01000007.1	50352	52463	+	
flis	NZ_MUXF01000003.1	85786	86142	-	
flid	NZ_MUXF01000003.1	86236	87573	-	
flgk	NZ_MUXF01000003.1	87601	89508	-	
flim	NZ_MUXF01000003.1	94815	95921	+	
flip	NZ_MUXF01000010.1	137524	138249	-	
mota	NZ_MUXF01000001.1	322417	323175	+	
motb	NZ_MUXF01000001.1	323179	323934	+	
