gene	contig	start	end	strand	overlaps
flge	NC_014506.1	42980	45109	+	
fliq	NC_014506.1	108199	108465	-	
flid	NC_014506.1	145142	146515	-	
flis	NC_014506.1	146667	147038	+	
flie	NC_014506.1	308371	308673	-	
flgc	NC_014506.1	308691	309185	-	
flgb	NC_014506.1	309196	309627	-	
flir	NC_014506.1	382568	383332	+	
flhb	NC_014506.1	673653	674705	+	
flim	NC_014506.1	692991	694091	+	
fliy	NC_014506.1	694095	694979	+	
flha	NC_014506.1	729352	731538	-	
flin	NC_014506.1	1043886	1044200	-	
flga	NC_014506.1	1091440	1092315	-	
flgg	NC_014506.1	1191482	1192270	-	
flip	NC_014506.1	1245213	1245950	-	
flil	NC_014506.1	1420730	1421284	+	
flgh	NC_014506.1	1446324	1447046	-	
flgk	NC_014506.1	1579150	1581030	-	
flih	NC_014506.1	1636753	1637532	-	
flig	NC_014506.1	1637537	1638565	-	
flif	NC_014506.1	1638568	1640277	-	
