gene	contig	start	end	strand	overlaps
flgg	NZ_CP053837.1	361147	361935	-	
flgb	NZ_CP053837.1	364128	364532	+	
flif	NZ_CP053837.1	364545	366290	+	
flig	NZ_CP053837.1	366294	367298	+	
flie	NZ_CP053837.1	379703	380008	+	
flgc	NZ_CP053837.1	380024	380488	+	
flhb	NZ_CP053837.1	383339	384388	+	
flgl	NZ_CP053837.1	387688	388821	+	
flha	NZ_CP053837.1	388842	390956	+	
flip	NZ_CP053837.1	1313206	1313871	+	
mota	NZ_CP053837.1	1804887	1805645	+	
motb	NZ_CP053837.1	1805648	1806403	+	
flim	NZ_CP053837.1	1967754	1968848	-	
flid	NZ_CP053837.1	1976023	1977336	+	
flis	NZ_CP053837.1	1977414	1977770	+	
