gene	contig	start	end	strand	overlaps
flim	NZ_CP032097.1	341337	342434	-	
flgk	NZ_CP032097.1	347679	349571	+	
flid	NZ_CP032097.1	349591	350937	+	
flis	NZ_CP032097.1	351040	351396	+	
flip	NZ_CP032097.1	1105044	1105772	-	
mota	NZ_CP032097.1	1139576	1140334	+	
motb	NZ_CP032097.1	1140337	1141074	+	
flgk	NZ_CP032097.1	1371521	1373119	+	
flid	NZ_CP032097.1	1373131	1374468	+	
flha	NZ_CP032097.1	2308914	2311025	-	
flgl	NZ_CP032097.1	2311043	2312176	-	
flhb	NZ_CP032097.1	2315475	2316524	-	
flgc	NZ_CP032097.1	2319317	2319781	-	
flie	NZ_CP032097.1	2319794	2320090	-	
flig	NZ_CP032097.1	2334114	2335121	-	
flif	NZ_CP032097.1	2335132	2336850	-	
flgb	NZ_CP032097.1	2336867	2337274	-	
flgg	NZ_CP032097.1	2339522	2340310	+	
