gene	contig	start	end	strand	overlaps
flir	NZ_QHLI01000059.1	1200	1967	-	
flie	NZ_QHLI01000062.1	2004	2297	-	
flgc	NZ_QHLI01000062.1	2300	2794	-	
flgb	NZ_QHLI01000062.1	2805	3236	-	
flga	NZ_QHLI01000002.1	2933	3601	-	
flge	NZ_QHLI01000014.1	6000	8657	+	
fliy	NZ_QHLI01000040.1	6964	7785	-	flim
flgl	NZ_QHLI01000036.1	7607	9850	+	
flim	NZ_QHLI01000040.1	7782	8864	-	fliy
flgk	NZ_QHLI01000037.1	8522	10357	-	
fliq	NZ_QHLI01000025.1	9200	9466	-	
flgn	NZ_QHLI01000037.1	10366	10800	-	
flgh	NZ_QHLI01000034.1	17697	18392	+	
flip	NZ_QHLI01000020.1	21021	21773	-	
flgg	NZ_QHLI01000034.1	26068	26859	-	
flin	NZ_QHLI01000006.1	26736	27047	-	
flid	NZ_QHLI01000017.1	31196	33514	+	
flif	NZ_QHLI01000009.1	32491	34176	+	
flis	NZ_QHLI01000017.1	33523	33942	+	
mota	NZ_QHLI01000001.1	34056	34829	+	
flig	NZ_QHLI01000009.1	34176	35204	+	
flih	NZ_QHLI01000009.1	35206	36021	+	
motb	NZ_QHLI01000001.1	36033	36782	+	
flhb	NZ_QHLI01000001.1	38153	39229	-	
flha	NZ_QHLI01000002.1	50379	52544	-	
