gene	contig	start	end	strand	overlaps
flim	NZ_CP032100.1	291844	292935	-	
flid	NZ_CP032100.1	300083	301429	+	
flis	NZ_CP032100.1	301535	301891	+	
flid	NZ_CP032100.1	1313623	1314957	+	
flip	NZ_CP032100.1	1573741	1574469	+	
flha	NZ_CP032100.1	2159984	2162095	-	
flgl	NZ_CP032100.1	2162119	2163261	-	
flhb	NZ_CP032100.1	2166560	2167606	-	
flgc	NZ_CP032100.1	2170334	2170795	-	
flie	NZ_CP032100.1	2170810	2171106	-	
flig	NZ_CP032100.1	2183657	2184664	-	
flif	NZ_CP032100.1	2184680	2186398	-	
flgb	NZ_CP032100.1	2186415	2186819	-	
flgg	NZ_CP032100.1	2189071	2189859	+	
motb	NZ_CP032100.1	2219361	2220134	-	
mota	NZ_CP032100.1	2220138	2220896	-	
