gene	contig	start	end	strand	overlaps
fliq	NZ_CP053827.1	179938	180204	+	
motb	NZ_CP053827.1	216432	217148	-	
mota	NZ_CP053827.1	217157	217927	-	
flih	NZ_CP053827.1	234449	235252	-	flig
flig	NZ_CP053827.1	235249	236277	-	flih
flif	NZ_CP053827.1	236277	237980	-	
flir	NZ_CP053827.1	291096	291869	+	
flis	NZ_CP053827.1	355326	355697	-	
flid	NZ_CP053827.1	355706	357496	-	
flgn	NZ_CP053827.1	360638	361069	+	
flgk	NZ_CP053827.1	361071	362924	+	
flha	NZ_CP053827.1	600178	602337	+	
flgh	NZ_CP053827.1	690074	690778	+	
flil	NZ_CP053827.1	726285	726806	+	
flga	NZ_CP053827.1	893382	893981	+	
flip	NZ_CP053827.1	972815	973549	-	
flgb	NZ_CP053827.1	1028191	1028631	+	
flgc	NZ_CP053827.1	1028641	1029132	+	
flie	NZ_CP053827.1	1029147	1029437	+	
flgg	NZ_CP053827.1	1112346	1113134	-	
flin	NZ_CP053827.1	1408829	1409134	-	
flhb	NZ_CP053827.1	1424632	1425705	-	
flim	NZ_CP053827.1	1509273	1510370	+	fliy
fliy	NZ_CP053827.1	1510360	1511193	+	flim
flge	NZ_CP053827.1	1695822	1698251	-	
