gene	contig	start	end	strand	overlaps
flip	NZ_JFBL01000010.1	8153	8887	-	
flga	NZ_JFBL01000019.1	16761	17600	-	
flge	NZ_JFBL01000005.1	24559	27195	+	
flha	NZ_JFBL01000012.1	26307	28514	+	
flgk	NZ_JFBL01000010.1	29500	31359	-	
fliy	NZ_JFBL01000007.1	33655	34521	-	
flim	NZ_JFBL01000007.1	34588	35664	-	
flid	NZ_JFBL01000010.1	35013	37049	+	
flis	NZ_JFBL01000010.1	37059	37439	+	
flgg	NZ_JFBL01000015.1	45683	46471	+	
flgh	NZ_JFBL01000006.1	50136	50846	-	
flil	NZ_JFBL01000010.1	72889	73419	+	
fliq	NZ_JFBL01000009.1	82850	83116	-	
flin	NZ_JFBL01000002.1	97273	97584	-	
flhb	NZ_JFBL01000007.1	117349	118410	-	
flif	NZ_JFBL01000008.1	119622	121355	+	flig
flig	NZ_JFBL01000008.1	121352	122380	+	flif
flih	NZ_JFBL01000008.1	122380	123174	+	
flgl	NZ_JFBL01000006.1	123167	125572	-	
flir	NZ_JFBL01000003.1	199035	199805	+	
flie	NZ_JFBL01000001.1	317936	318232	-	
flgc	NZ_JFBL01000001.1	318239	318733	-	
flgb	NZ_JFBL01000001.1	318743	319177	-	
