gene	contig	start	end	strand	overlaps
flgk	NZ_JMKW01000033.1	639	2459	-	
flir	NZ_JMKW01000059.1	2486	3262	+	
flge	NZ_JMKW01000054.1	4560	6716	-	
flid	NZ_JMKW01000064.1	7282	9321	+	
flim	NZ_JMKW01000023.1	8326	9396	+	fliy
flis	NZ_JMKW01000064.1	9331	9720	+	
fliy	NZ_JMKW01000023.1	9389	10225	+	flim
flih	NZ_JMKW01000024.1	11597	12391	-	flig
flig	NZ_JMKW01000024.1	12378	13409	-	flih
flif	NZ_JMKW01000024.1	13419	15110	-	
fliq	NZ_JMKW01000010.1	14270	14536	-	
flgd	NZ_JMKW01000046.1	15199	16722	-	
flie	NZ_JMKW01000010.1	21095	21397	-	
flgc	NZ_JMKW01000010.1	21419	21910	-	
flgb	NZ_JMKW01000010.1	21948	22406	-	
flha	NZ_JMKW01000004.1	29500	31737	+	
flhb	NZ_JMKW01000005.1	31824	32942	+	
flga	NZ_JMKW01000023.1	35274	35942	-	
flin	NZ_JMKW01000020.1	37013	37399	+	
flgh	NZ_KK365988.1	40301	41014	-	
flip	NZ_KK365988.1	54286	55113	+	
mota	NZ_JMKW01000007.1	69425	70195	+	
motb	NZ_JMKW01000007.1	70342	71109	+	
flgl	NZ_KK365988.1	97406	99958	-	
flgg	NZ_KK365988.1	158709	159497	+	
