gene	contig	start	end	strand	overlaps
flge	NZ_CP054492.1	32999	35416	+	
flir	NZ_CP054492.1	296416	297180	+	
flgg	NZ_CP054492.1	1051033	1051821	+	
flin	NZ_CP054492.1	1065746	1066090	-	
flga	NZ_CP054492.1	1234160	1235029	-	
flip	NZ_CP054492.1	1341631	1342365	-	
flil	NZ_CP054492.1	1628516	1629064	+	
flgh	NZ_CP054492.1	1741410	1742132	-	
flha	NZ_CP054492.1	1747515	1749692	+	
fliy	NZ_CP054492.1	1788970	1789833	-	
flim	NZ_CP054492.1	1789837	1790931	-	
flhb	NZ_CP054492.1	1809256	1810308	-	
flgk	NZ_CP054492.1	1995952	1997841	-	
flih	NZ_CP054492.1	2102938	2103744	-	
flig	NZ_CP054492.1	2103747	2104772	-	
flif	NZ_CP054492.1	2104784	2106484	-	
flgb	NZ_CP054492.1	2240539	2240970	+	
flgc	NZ_CP054492.1	2241053	2241547	+	
flie	NZ_CP054492.1	2241575	2241877	+	
flis	NZ_CP054492.1	2608098	2608472	-	
flid	NZ_CP054492.1	2608565	2609935	-	
fliq	NZ_CP054492.1	2633259	2633525	+	
