gene	contig	start	end	strand	overlaps
fliq	NZ_JAMOKX010000004.1	5012	5278	+	
flir	NZ_JAMOKX010000002.1	13342	14112	-	
flip	NZ_JAMOKX010000001.1	46740	47492	-	
flgg	NZ_JAMOKX010000004.1	72015	72806	+	
flgb	NZ_JAMOKX010000004.1	73055	73489	+	
flgc	NZ_JAMOKX010000004.1	73501	74001	+	
flie	NZ_JAMOKX010000004.1	74012	74329	+	
flha	NZ_JAMOKX010000005.1	76929	79187	-	
flin	NZ_JAMOKX010000004.1	85719	86078	+	
flgk	NZ_JAMOKX010000002.1	89639	91468	-	
flif	NZ_JAMOKX010000001.1	109752	111479	+	
flig	NZ_JAMOKX010000001.1	111482	112516	+	flih
flih	NZ_JAMOKX010000001.1	112509	113378	+	flig
flgl	NZ_JAMOKX010000001.1	129744	132386	+	
flge	NZ_JAMOKX010000004.1	135524	137767	+	
flid	NZ_JAMOKX010000001.1	152249	154318	+	
flis	NZ_JAMOKX010000001.1	154336	154716	+	
flhb	NZ_JAMOKX010000004.1	161092	162165	+	
flgd	NZ_JAMOKX010000003.1	210134	211210	+	
flil	NZ_JAMOKX010000002.1	275766	276299	-	
flgh	NZ_JAMOKX010000001.1	329683	330414	+	
flga	NZ_JAMOKX010000002.1	335342	336238	+	
flim	NZ_JAMOKX010000001.1	368005	369063	+	
fliy	NZ_JAMOKX010000001.1	369072	369929	+	
