gene	contig	start	end	strand	overlaps
flha	NZ_NXLR01000008.1	11616	13823	-	
motb	NZ_NXLR01000021.1	14017	14769	-	
flif	NZ_NXLR01000005.1	14690	16402	+	
mota	NZ_NXLR01000021.1	14773	15540	-	
flig	NZ_NXLR01000005.1	16428	17459	+	flih
flih	NZ_NXLR01000005.1	17446	18261	+	flig
flgd	NZ_NXLR01000015.1	19527	20348	+	
flhb	NZ_NXLR01000012.1	29501	30619	-	
flie	NZ_NXLR01000018.1	29886	30194	-	
flgc	NZ_NXLR01000018.1	30204	30695	-	
flgb	NZ_NXLR01000018.1	30711	31145	-	
flgl	NZ_NXLR01000017.1	33193	35760	+	
flin	NZ_NXLR01000005.1	33470	33820	+	
flga	NZ_NXLR01000018.1	35956	36840	+	
flil	NZ_NXLR01000001.1	47703	48290	-	
fliq	NZ_NXLR01000005.1	48389	48655	-	
flge	NZ_NXLR01000007.1	55917	58073	+	
flim	NZ_NXLR01000010.1	62154	63215	+	fliy
fliy	NZ_NXLR01000010.1	63212	64057	+	flim
flgg	NZ_NXLR01000010.1	72117	72905	-	
flis	NZ_NXLR01000001.1	79718	80101	-	
flid	NZ_NXLR01000001.1	80112	82160	-	
flgk	NZ_NXLR01000001.1	163078	164898	+	
flgh	NZ_NXLR01000001.1	213832	214536	-	
flip	NZ_NXLR01000001.1	228247	228954	+	
flir	NZ_NXLR01000001.1	238576	239352	+	
