gene	contig	start	end	strand	overlaps
flgg	NZ_RJVK01000001.1	4941	5729	-	
flgl	NZ_RJVK01000001.1	43250	45895	+	
flih	NZ_RJVK01000002.1	44155	44928	-	flig
flig	NZ_RJVK01000002.1	44921	45946	-	flih
flif	NZ_RJVK01000002.1	45948	47627	-	
flim	NZ_RJVK01000001.1	55130	56200	+	fliy
fliy	NZ_RJVK01000001.1	56193	57008	+	flim
flir	NZ_RJVK01000003.1	72353	73120	-	
flgb	NZ_RJVK01000004.1	81060	81488	+	
flgc	NZ_RJVK01000004.1	81498	81995	+	
flie	NZ_RJVK01000004.1	82005	82298	+	
flip	NZ_RJVK01000002.1	102203	102931	-	
flin	NZ_RJVK01000002.1	160663	160980	-	
flgk	NZ_RJVK01000003.1	169630	171789	+	
flis	NZ_RJVK01000002.1	219418	219789	-	
flid	NZ_RJVK01000002.1	219799	221505	-	
flga	NZ_RJVK01000001.1	231654	232238	-	
flha	NZ_RJVK01000001.1	300925	303099	+	
flhb	NZ_RJVK01000002.1	304176	305234	-	
fliq	NZ_RJVK01000002.1	315353	315619	+	
flil	NZ_RJVK01000001.1	391221	391745	+	
