gene	contig	start	end	strand	overlaps
flga	NZ_LS483488.1	60411	61067	+	
flie	NZ_LS483488.1	181380	181709	-	
flgc	NZ_LS483488.1	181836	182321	-	
flgb	NZ_LS483488.1	182334	182756	-	
flgg	NZ_LS483488.1	203412	204200	+	
flir	NZ_LS483488.1	382176	382943	-	
flgk	NZ_LS483488.1	682475	684295	+	
flin	NZ_LS483488.1	793601	793972	-	
flip	NZ_LS483488.1	911504	912250	+	
flid	NZ_LS483488.1	984423	986480	+	
flis	NZ_LS483488.1	986521	986901	+	
flhb	NZ_LS483488.1	1000591	1001667	+	
flil	NZ_LS483488.1	1042139	1042690	-	
mota	NZ_LS483488.1	1046626	1047399	+	
motb	NZ_LS483488.1	1047402	1048169	+	
flge	NZ_LS483488.1	1095270	1097426	-	
flik	NZ_LS483488.1	1130872	1132431	+	
flgd	NZ_LS483488.1	1132482	1133447	+	
fliy	NZ_LS483488.1	1387877	1388740	-	
flim	NZ_LS483488.1	1388744	1389808	-	
flha	NZ_LS483488.1	1397055	1399256	+	
flih	NZ_LS483488.1	1457522	1458298	-	flig
flig	NZ_LS483488.1	1458285	1459316	-	flih
flif	NZ_LS483488.1	1459330	1461033	-	
flgh	NZ_LS483488.1	1475351	1476064	-	
fliq	NZ_LS483488.1	1642746	1643012	-	
