gene	contig	start	end	strand	overlaps
motb	NZ_PDKB01000020.1	17679	18425	-	
mota	NZ_PDKB01000020.1	18434	19186	-	
flgg	NZ_PDKB01000003.1	39033	39821	-	
flgb	NZ_PDKB01000003.1	41973	42368	+	
flif	NZ_PDKB01000003.1	42381	44096	+	
flig	NZ_PDKB01000003.1	44106	45116	+	
flie	NZ_PDKB01000003.1	58013	58336	+	
flgc	NZ_PDKB01000003.1	58352	58819	+	
flik	NZ_PDKB01000003.1	58827	60770	+	
flhb	NZ_PDKB01000003.1	61529	62578	+	
flha	NZ_PDKB01000003.1	67053	69164	+	
flip	NZ_PDKB01000006.1	97256	97921	+	
flik	NZ_PDKB01000006.1	128995	130803	+	
flim	NZ_PDKB01000001.1	137662	138777	-	
flid	NZ_PDKB01000001.1	145946	147286	+	
flis	NZ_PDKB01000001.1	147363	147719	+	
