gene	contig	start	end	strand	overlaps
flif	NC_018002.1	219062	220789	+	flig
flig	NC_018002.1	220786	221814	+	flif
flih	NC_018002.1	221816	222610	+	
flhb	NC_018002.1	239384	240442	+	
flim	NC_018002.1	295196	296257	+	
fliy	NC_018002.1	296261	297121	+	
flir	NC_018002.1	422832	423605	+	
flin	NC_018002.1	553362	553673	-	
flil	NC_018002.1	908800	909339	-	
motb	NC_018002.1	1062511	1063311	-	
mota	NC_018002.1	1063321	1064097	-	
flis	NC_018002.1	1080508	1080885	-	
flid	NC_018002.1	1080903	1082582	-	
flgk	NC_018002.1	1086152	1087996	+	
flip	NC_018002.1	1102285	1102992	+	
flgh	NC_018002.1	1190138	1190851	+	
flgl	NC_018002.1	1227335	1229737	+	
flga	NC_018002.1	1281792	1282583	-	
flha	NC_018002.1	1397454	1399646	+	
flgg	NC_018002.1	1562574	1563362	-	
flie	NC_018002.1	1710973	1711272	-	
flgc	NC_018002.1	1711292	1711783	-	
flgb	NC_018002.1	1711793	1712227	-	
fliq	NC_018002.1	2427830	2428096	+	
flge	NC_018002.1	2506033	2508861	+	
