gene	contig	start	end	strand	overlaps
flik	NZ_LS483431.1	10964	12565	-	
flis	NZ_LS483431.1	74636	75025	-	
flid	NZ_LS483431.1	75036	76859	-	
flgn	NZ_LS483431.1	79987	80421	+	
flgk	NZ_LS483431.1	80423	82276	+	
fliq	NZ_LS483431.1	186060	186326	+	
mota	NZ_LS483431.1	207984	208754	+	
motb	NZ_LS483431.1	208763	209479	+	
flih	NZ_LS483431.1	240021	240818	-	flig
flig	NZ_LS483431.1	240815	241843	-	flih
flif	NZ_LS483431.1	241843	243549	-	
flhb	NZ_LS483431.1	311447	312523	+	
flin	NZ_LS483431.1	327072	327377	+	
flgg	NZ_LS483431.1	522596	523384	+	
flie	NZ_LS483431.1	707678	707965	-	
flgc	NZ_LS483431.1	707969	708463	-	
flgb	NZ_LS483431.1	708473	708913	-	
flip	NZ_LS483431.1	759984	760718	+	
flgh	NZ_LS483431.1	821330	822034	+	
flga	NZ_LS483431.1	892307	892825	+	
flil	NZ_LS483431.1	921666	922193	-	
flha	NZ_LS483431.1	1083090	1085261	-	
flir	NZ_LS483431.1	1409939	1410712	-	
flim	NZ_LS483431.1	1481104	1482195	+	fliy
fliy	NZ_LS483431.1	1482188	1483018	+	flim
flge	NZ_LS483431.1	1719132	1721828	-	
